Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
West Indies,593,180.33333333333331,3.28,593,1,draw,England,St John's,1994-04-16,1,5
England,593,206.16666666666663,2.87,0,2,draw,West Indies,St John's,1994-04-16,0,10
New Zealand,593,165.0,3.59,593,1,draw,South Africa,Cape Town,2006-04-27,1,8
England,593,156.33333333333334,3.79,593,1,draw,South Africa,Lord's,2008-07-10,1,8
England,592,170.16666666666666,3.47,592,1,draw,Australia,Perth,1986-11-28,1,8
India,591,189.5,3.11,244,2,won,England,Wankhede,1993-02-19,0,10
Sri Lanka,591,156.83333333333334,3.76,146,2,won,England,The Oval,1998-08-27,0,10
West Indies,591,167.66666666666666,3.52,234,2,draw,Pakistan,Multan,2006-11-19,0,10
England,591,153.0,3.86,591,1,won,India,The Oval,2011-08-18,1,6
Sri Lanka,590,202.66666666666663,2.91,142,2,won,West Indies,Galle,2001-11-13,1,9
West Indies,590,184.16666666666663,3.2,590,1,draw,India,Wankhede,2011-11-22,0,10
England,589,152.33333333333334,3.86,589,1,won,Pakistan,Manchester,2016-07-22,1,8
Australia,589,127.0,4.63,589,1,won,Pakistan,Adelaide,2019-11-29,1,3
South Africa,588,163.0,3.6,588,1,draw,West Indies,St John's,2005-04-29,1,6
Pakistan,588,136.33333333333334,4.31,588,1,draw,India,Faisalabad,2006-01-21,0,10
India,588,148.33333333333334,3.96,588,1,draw,West Indies,Gros Islet,2006-06-10,1,8
Sri Lanka,587,156.66666666666666,3.74,587,1,draw,Bangladesh,Chattogram,2014-02-04,0,10
New Zealand,586,146.0,4.01,586,1,won,Sri Lanka,Dunedin,1997-03-07,1,7
Sri Lanka,586,161.0,3.63,586,1,won,Zimbabwe,Colombo (SSC),2001-12-27,1,6
Australia,585,153.83333333333334,3.8,232,2,won,New Zealand,Brisbane,2004-11-18,0,10
New Zealand,585,153.0,3.82,659,3,won,Sri Lanka,Christchurch,2018-12-26,1,4
South Africa,584,153.0,3.81,584,1,draw,Pakistan,Abu Dhabi,2010-11-20,1,9
India,583,167.0,3.49,583,1,draw,New Zealand,Ahmedabad,1999-10-29,1,7
South Africa,583,161.16666666666666,3.61,583,1,won,Bangladesh,Chattogram,2008-02-29,1,7
Australia,583,114.0,5.11,583,1,won,West Indies,Hobart,2015-12-10,1,4
England,583,154.66666666666666,3.76,583,1,draw,Pakistan,Southampton,2020-08-21,1,8
New Zealand,582,150.0,3.88,582,1,won,Zimbabwe,Bulawayo,2016-08-06,1,4
Australia,581,152.5,3.8,384,2,won,Bangladesh,Chattogram,2006-04-16,1,4
West Indies,581,170.0,3.41,581,1,draw,India,Basseterre,2006-06-22,0,10
England,580,163.0,3.55,580,1,won,New Zealand,Christchurch,1992-01-18,1,9
Pakistan,580,172.16666666666666,3.36,-19,2,draw,Australia,Peshawar,1998-10-15,1,9
